Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1900	1	-14.54	-26.87	52.36	110.01	295.8
1800-1900	2	-11.84	-25.39	45.60	281.22	295.8
1800-1900	3	-4.51	-18.50	47.53	561.22	295.8
1800-1900	4	3.20	-8.10	52.62	779.95	295.8
1800-1900	5	10.80	-0.78	68.02	822.71	295.8
1800-1900	6	17.58	5.22	106.86	798.43	295.8
1800-1900	7	20.05	8.66	124.19	709.88	295.8
1800-1900	8	18.39	7.48	104.99	600.80	295.8
1800-1900	9	12.67	3.37	104.85	446.65	295.8
1800-1900	10	5.18	-2.04	78.14	224.18	295.8
1800-1900	11	-2.87	-9.92	79.98	132.07	295.8
1800-1900	12	-11.34	-21.52	57.85	128.28	295.8
1901	1	-14.7	-26.4	48.0	111.4	295.8
1901	2	-12.9	-26.0	32.0	293.9	295.8
1901	3	-5.7	-18.2	62.0	490.1	295.8
1901	4	5.3	-5.5	55.0	808.6	295.8
1901	5	12.9	1.1	61.0	841.8	295.8
1901	6	18.1	5.8	128.0	838.1	295.8
1901	7	21.3	10.1	124.0	781.1	295.8
1901	8	19.7	8.5	105.0	513.0	295.8
1901	9	13.0	3.5	94.0	451.2	295.8
1901	10	5.7	-2.3	69.0	214.1	295.8
1901	11	-5.2	-11.8	60.0	115.6	295.8
1901	12	-11.6	-23.8	87.0	123.1	295.8
1902	1	-13.3	-24.5	56.0	96.1	296.5
1902	2	-10.4	-22.3	45.0	229.6	296.5
1902	3	-1.5	-13.6	62.0	517.3	296.5
1902	4	3.0	-7.6	41.0	695.3	296.5
1902	5	10.3	-0.8	63.0	656.6	296.5
1902	6	14.2	2.8	172.0	698.0	296.5
1902	7	19.1	8.2	97.0	793.3	296.5
1902	8	17.7	6.4	108.0	644.7	296.5
1902	9	12.6	3.6	99.0	462.3	296.5
1902	10	4.7	-2.6	74.0	237.5	296.5
1902	11	-2.0	-9.1	52.0	122.4	296.5
1902	12	-13.0	-25.1	60.0	138.8	296.5
1903	1	-13.7	-25.3	42.0	107.4	296.8
1903	2	-10.2	-23.8	50.0	262.8	296.8
1903	3	-1.8	-15.4	47.0	611.9	296.8
1903	4	3.6	-7.8	61.0	837.7	296.8
1903	5	11.1	-1.2	59.0	842.2	296.8
1903	6	16.1	4.5	70.0	740.2	296.8
1903	7	18.0	8.1	139.0	761.5	296.8
1903	8	15.3	5.5	147.0	651.7	296.8
1903	9	11.9	2.9	89.0	427.5	296.8
1903	10	5.6	-1.6	81.0	206.5	296.8
1903	11	-4.4	-11.5	79.0	137.3	296.8
1903	12	-13.8	-25.9	58.0	149.1	296.8
1904	1	-17.8	-29.3	67.0	116.2	297.2
1904	2	-17.8	-31.9	48.0	321.9	297.2
1904	3	-7.6	-21.3	71.0	530.9	297.2
1904	4	0.7	-9.4	44.0	743.7	297.2
1904	5	11.7	0.4	73.0	872.1	297.2
1904	6	16.8	4.6	102.0	679.4	297.2
1904	7	19.7	7.8	109.0	730.3	297.2
1904	8	17.2	5.6	96.0	493.9	297.2
1904	9	11.2	1.5	79.0	402.6	297.2
1904	10	5.0	-3.0	57.0	166.1	297.2
1904	11	-1.4	-9.6	62.0	139.9	297.2
1904	12	-14.5	-26.6	48.0	92.9	297.2
1905	1	-16.6	-30.0	54.0	109.4	297.6
1905	2	-13.8	-28.7	21.0	281.5	297.6
1905	3	-3.8	-18.3	6.0	528.5	297.6
1905	4	3.0	-8.6	33.0	645.2	297.6
1905	5	10.3	-1.4	58.0	813.0	297.6
1905	6	17.0	4.3	112.0	752.6	297.6
1905	7	19.9	8.2	148.0	790.2	297.6
1905	8	17.8	6.9	111.0	610.8	297.6
1905	9	13.2	4.1	105.0	465.1	297.6
1905	10	3.8	-3.4	73.0	220.5	297.6
1905	11	-2.8	-11.1	24.0	130.8	297.6
1905	12	-9.2	-21.4	33.0	106.6	297.6
1906	1	-9.9	-21.9	63.0	123.2	298.1
1906	2	-10.7	-25.9	31.0	326.2	298.1
1906	3	-7.2	-22.2	39.0	612.0	298.1
1906	4	4.5	-7.4	27.0	738.0	298.1
1906	5	9.7	-1.5	50.0	671.3	298.1
1906	6	18.2	5.4	103.0	922.9	298.1
1906	7	20.9	8.0	86.0	737.7	298.1
1906	8	20.0	8.9	65.0	608.5	298.1
1906	9	14.1	4.4	93.0	449.0	298.1
1906	10	5.3	-1.7	92.0	206.0	298.1
1906	11	-3.2	-9.9	125.0	114.4	298.1
1906	12	-13.2	-25.4	47.0	143.8	298.1
1907	1	-17.0	-31.9	54.0	107.7	298.5
1907	2	-13.8	-28.9	38.0	289.0	298.5
1907	3	-4.4	-19.3	38.0	610.6	298.5
1907	4	-1.3	-11.7	48.0	784.7	298.5
1907	5	6.4	-4.1	56.0	1015.0	298.5
1907	6	17.1	4.2	99.0	772.0	298.5
1907	7	18.4	7.8	160.0	588.0	298.5
1907	8	16.4	5.9	113.0	653.9	298.5
1907	9	11.1	3.1	130.0	511.4	298.5
1907	10	3.9	-4.7	36.0	231.8	298.5
