Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1901	1	-12.60	-25.7	43.00	238.79	295.80
1800-1901	2	-11.70	-24.8	24.00	418.48	295.80
1800-1901	3	-4.40	-19.3	65.00	644.62	295.80
1800-1901	4	7.90	-5.2	47.00	787.34	295.80
1800-1901	5	16.70	2.6	56.00	698.81	295.80
1800-1901	6	20.60	7.2	89.00	1058.03	295.80
1800-1901	7	23.40	11.3	85.00	1033.60	295.80
1800-1901	8	21.50	9.2	101.00	822.47	295.80
1800-1901	9	14.60	5.0	90.00	486.79	295.80
1800-1901	10	7.00	-0.9	87.00	306.36	295.80
1800-1901	11	-3.00	-10.5	54.00	168.79	295.80
1800-1901	12	-10.00	-20.6	67.00	167.92	295.80
1902	1	-11.30	-24.0	46.00	219.60	296.48
1902	2	-8.30	-20.9	23.00	393.40	296.48
1902	3	0.40	-13.8	62.00	627.52	296.48
1902	4	5.50	-6.7	40.00	862.66	296.48
1902	5	13.60	0.7	82.00	938.31	296.48
1902	6	15.30	4.5	150.00	983.47	296.48
1902	7	22.40	9.9	89.00	864.25	296.48
1902	8	20.20	8.2	78.00	802.31	296.48
1902	9	14.50	5.3	98.00	486.17	296.48
1902	10	5.50	-1.4	83.00	365.70	296.48
1902	11	-0.20	-7.5	60.00	150.56	296.48
1902	12	-11.40	-22.7	49.00	141.72	296.48
1903	1	-11.90	-24.4	38.00	218.56	296.83
1903	2	-9.30	-23.0	33.00	364.18	296.83
1903	3	-0.90	-15.3	53.00	530.63	296.83
1903	4	5.80	-7.7	49.00	754.46	296.83
1903	5	14.40	1.0	89.00	944.57	296.83
1903	6	18.10	6.0	62.00	902.61	296.83
1903	7	21.10	9.6	94.00	886.26	296.83
1903	8	17.90	7.0	114.00	602.60	296.83
1903	9	13.80	4.2	108.00	557.76	296.83
1903	10	7.70	-0.9	81.00	364.82	296.83
1903	11	-2.30	-10.1	58.00	180.74	296.83
1903	12	-12.30	-24.2	44.00	165.24	296.83
1904	1	-15.30	-27.9	60.00	180.46	297.20
1904	2	-15.40	-30.1	31.00	404.57	297.20
1904	3	-5.40	-19.6	67.00	614.05	297.20
1904	4	3.70	-8.7	54.00	719.02	297.20
1904	5	15.90	2.7	82.00	819.98	297.20
