Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1900		1	-13.8	-27.4	66.5	135.8	295.8
1800-1900		2	-11.3	-26.7	60.0	313.4	295.8
1800-1900		3	-3.9	-19.0	51.8	675.2	295.8
1800-1900		4	3.0	-9.2	50.6	889.2	295.8
1800-1900		5	10.1	-2.0	70.9	957.2	295.8
1800-1900		6	17.8	4.1	96.6	945.0	295.8
1800-1900		7	20.2	8.0	122.1	815.5	295.8
1800-1900		8	18.3	6.5	106.6	684.1	295.8
1800-1900		9	12.7	2.2	105.5	524.0	295.8
1800-1900		10	5.1	-2.8	83.7	280.5	295.8
1800-1900		11	-2.4	-10.8	82.1	167.8	295.8
1800-1900		12	-10.5	-21.6	73.5	163.9	295.8
1901	1	-13.7	-27.2	61.0	128.7	295.8
1901	2	-11.9	-27.3	57.0	320.1	295.8
1901	3	-4.8	-19.1	68.0	680.0	295.8
1901	4	5.0	-6.8	53.0	867.6	295.8
1901	5	12.2	-0.5	61.0	950.8	295.8
1901	6	18.4	4.5	109.0	874.8	295.8
1901	7	21.5	9.2	112.0	807.5	295.8
1901	8	19.2	7.3	102.0	660.2	295.8
1901	9	13.1	2.2	89.0	555.5	295.8
1901	10	5.5	-3.3	80.0	266.9	295.8
1901	11	-5.0	-13.1	61.0	174.9	295.8
1901	12	-11.2	-21.2	108.0	152.2	295.8
1902	1	-12.3	-25.3	69.0	130.3	296.5
1902	2	-10.1	-23.9	67.0	295.3	296.5
1902	3	-0.7	-14.3	72.0	629.7	296.5
1902	4	2.8	-8.9	41.0	773.5	296.5
1902	5	9.6	-2.3	63.0	856.9	296.5
1902	6	14.3	1.7	154.0	984.4	296.5
1902	7	19.4	7.5	80.0	861.6	296.5
1902	8	17.5	5.3	126.0	688.6	296.5
1902	9	12.7	2.4	102.0	497.6	296.5
1902	10	4.4	-3.6	84.0	293.3	296.5
1902	11	-1.7	-10.1	54.0	155.4	296.5
1902	12	-12.7	-23.9	77.0	169.0	296.5
1903	1	-12.9	-25.9	55.0	133.7	296.8
1903	2	-10.4	-24.5	70.0	295.9	296.8
1903	3	-1.6	-16.2	54.0	676.7	296.8
1903	4	3.5	-9.1	64.0	939.7	296.8
1903	5	10.3	-2.3	51.0	1002.0	296.8
1903	6	15.4	3.4	52.0	951.1	296.8
1903	7	18.0	7.6	112.0	799.1	296.8
1903	8	14.9	4.2	140.0	718.7	296.8
1903	9	11.8	2.0	69.0	502.6	296.8
1903	10	5.0	-2.3	83.0	266.3	296.8
1903	11	-4.1	-12.5	78.0	175.6	296.8
1903	12	-13.2	-24.9	72.0	176.4	296.8
1904	1	-17.0	-30.0	87.0	149.1	297.2
1904	2	-17.6	-33.1	64.0	331.5	297.2
1904	3	-7.0	-22.0	79.0	637.6	297.2
1904	4	0.5	-10.8	40.0	870.4	297.2
1904	5	11.0	-1.1	87.0	1006.6	297.2
1904	6	17.2	3.4	80.0	848.9	297.2
1904	7	20.0	7.2	100.0	809.0	297.2
1904	8	16.9	4.3	95.0	641.9	297.2
1904	9	11.1	0.2	62.0	483.0	297.2
1904	10	4.6	-4.2	67.0	261.5	297.2
1904	11	-1.5	-10.9	83.0	165.3	297.2
